issue_key,1130000022141590,1130000041038774,1130000048543882,1130000050115988,1130000054322053,pm
LG-2214,,,,,900.0,
LG-2224,,,,,900.0,
LG-2234,,,,,900.0,
LG-2239,,,,,900.0,
LG-2240,,,,,900.0,
LG-2242,,,,,900.0,
LG-2280,,,,,900.0,
LG-2297,,,,,900.0,
LG-2341,,,,,900.0,
LG-2522,,1800.0,3600.0,,,1800.0
LG-2524,,,3600.0,,,
LG-2529,,,,3600.0,,
LG-2535,,,,,19800.0,
LG-2538,,,,,,3600.0
LG-2546,21600.0,,,,,
LG-2553,,,4500.0,,1800.0,
LG-2554,,,,7200.0,,7200.0
LG-2555,,,50400.0,,,
LG-2559,,,,10800.0,,
LG-2560,,,,10800.0,,1800.0
